"id","hospital_clave","hospital_nombre","categoria","uid","clave","descripcion","stock","minimo","fecha","dias_restantes","observaciones","color","manual","saved_at"
"2108","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-y3r045","531.341.2305","UNIDAD RADIOLÓGICA DENTAL INCLUYE SENSOR DIGITAL INTRAORAL (RADIOVISIÓGRAFO)",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2109","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-839wdy","S/C","CÁMARA INTRAORAL DIGITAL.",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2110","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-vw3jsa","537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2111","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-z57ncw","437.480.0034","PIEZA DE MANO DE BAJA VELOCIDAD CON CONTRAÁNGULO",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2112","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-f2w0t4","511.232.0022","CESTO DE PAPELES",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2113","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-wssfhu","519.132.0059","BOTE DE CAMPANA",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2114","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-tnxli9","511.814.0127","SILLA FIJA ACOJINADA APILABLE",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2115","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-an0yyl","515.957.0109","VITRINA DE 75 CM CONTRA MURO",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2116","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-se92qh","511.836.0295","SILLÓN GIRATORIO DE RESPALDO BAJO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2117","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-09q9u6","S/C","VITRINA DOBLE ESMALTADA DOS PUERTAS SUPERIORES DE CRISTAL CON CERRADURA Y ENTREPAÑOS DE CRISTAL, DOS CAJONES CENTRALES, DOS PUERTAS DE LÁMINA DE HACER O INFERIORES CON ENTREPAÑOS",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2118","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-gxghb7","511.339.0206","ESCRITORIO CHICO CON PEDESTAL DERECHO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2119","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-kviea4","S/C","CARRO CAJONERO CON RUEDAS",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2120","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-vq82mx","S/C","MESA ALTA CON RESPALDO Y FREGADERO DE 120 CM",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2121","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-8jy4lj","511.076.0203","ARCHIVERO DE 4 GAVETAS",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2122","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-246y50","350.308.0040","DESPCHADOR DE TOALLA DE PAPEL INTERDOBLADA GRANDE",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2123","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-ov8wu2","S/C","LAVABO CONTRA MURO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2124","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-k707o4","S/C","ESPEJO INDIVIDUAL PARA PACIENTES",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2125","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-6q9eoh","S/C","AIRE ACONDICIONADO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2126","VZIM000691","Hospital de la Comunidad Catemaco","mobiliario","uid-1778114477978-48ro09","S/C","ESPEJO DE PARED",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:41:41.095211"
"2127","VZIM000691","Hospital de la Comunidad Catemaco","bienesInformaticos","uid-1778114545779-3l8pvl","S/C","COMPUTADORA DE ESCRITORIO MEDIO RENDIMIENTO WINDOWS",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:42:49.046849"
"2128","VZIM000691","Hospital de la Comunidad Catemaco","bienesInformaticos","uid-1778114545779-8b1s7f","S/C","UNIDAD DE ENERGÍA ININTERRUMPIDA TIPO 3. INTERACTIVO, CAPACIDAD DE 500 VA/300 WATSS.",2,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:42:49.046849"
"2129","VZIM000691","Hospital de la Comunidad Catemaco","bienesInformaticos","uid-1778114545779-q4necd","S/C","EQUIPO MULTIFUNCIONAL LÁSER MONOCROMÁTICO",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:42:49.046849"
"2130","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-hzgan1","537.025.0069","ALVEOLOTOMO MEAD PINZA GUBIA LONGITUD 17CM",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2131","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-xwu7pz","537.065.0052","APLICADOR DE HIDROXIDO DE CALCIO",5,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2132","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-iy4xb3","537.079.0015","ARCO YOUNG PORTA DIQUE DE HULE",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2133","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-aa284a","537.105.0179","BISTURÍ GOLDMAN FOX. NO.7",0,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2134","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-973eff","535.137.0035","BISTURÍ QUIRÚRGICO. MANGO N° 3, CON ESCALA",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2135","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-1ou890","537.151.0016","BOTA FRESA BRODEN: ADITAMIENTO PARA PIEZA DE MANO DE ALTA VELOCIDAD",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2136","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-3iyndc","537.147.0017","BUDINERA DE ACERO INOXIDABLE 25 X 16 CM Y 700 ML.",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2137","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-k1kau6","S/C","CAJA METALICA CON TAPA PARA INSTRUMENTAL 20 X 10 X 4.5 CM",3,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2138","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-yinhpx","535.260.2154","CUCHARILLA LUCAS DE DOBLE EXTREMO 17CM DE LONGITUD",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2139","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-ei426t","537.251.0098","CURETA CK-6 DE DOBLE EXTREMO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2140","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-m4nla8","537.251.0015","CURETA MC CALL DERECHA E IZQUIERDA. JUEGO.",0,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2141","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-spx0ov","537.327.0551","ELEVADOR APICAL FLOHR MANGO METALICO BRAZO ANGULAR EXTREMO FINO CORTO DERECHO",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2142","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-f9zf2l","537.327.0700","ELEVADOR APICAL FLOHR MANGO METALICO BRAZO ANGULAR EXTREMO FINO CORTO IZQUIERDO",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2143","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-xjbdvj","537.327.2664","ELEVADOR BEIN CON MANGO METALICO RECTO ACALANADO DE 4MM.",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2144","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-48fs8p","537.327.0452","ELEVADOR BEIN CON MANGO METALICO RECTO ACANALADO DE 2 O 3 MM ANCHO DE HOJA",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2145","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-ed32qp","537.327.1534","ELEVADOR SELDIN DE BANDERA DERECHO HOJA GRANDE",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2146","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-aqplp9","537.327.2805","ELEVADOR SELDIN DE BANDERA DERECHO HOJA PEQUEÑA",0,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2147","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-d2htmg","537.327.2813","ELEVADOR SELDIN DE BANDERA IZQUIERDA HOJA PEQUEÑA",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2148","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-dhg34e","537.327.1609","ELEVADOR SELDIN DE BANDERA IZQUIERDO HOJA GRANDE",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2149","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-swxeg9","537.327.0957","ELEVADOR TIPO CRYER WHITE DE BANDERA DERECHO HOJA PEQUEÑA",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2150","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-8rh3dv","537.327.1104","ELEVADOR TIPO CRYER WHITE DE BANDERA IZQUIERDO HOJA PEQUEÑA",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2151","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-j4m1o5","537.370.0029","ESPÁTULA METÁLICA No.3 DOBLE EXTREMO (RECTANGULAR Y PUNTA LANZA)",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2152","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-td4fk5","537.370.0128","ESPÁTULA PARA RESINA, DE PLÁSTICO, DOBLE PUNTA",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2153","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-5l8gxb","537.383.0081","ESPEJO DENTAL ROSCA SENCILLA PLANO SIN AUMENTO NO.5",10,0,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2154","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-uma7xq","537.397.0168","EXCAVADOR TIPO WHITE No.17",10,5,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2155","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-xo2nd0","537.397.0150","EXCAVADOR TIPO WHITE No.5",0,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2156","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-igis7l","537.409.0531","EXPLORADOR DE UNA PIEZA CON DOBLE EXTREMO NO.5",10,3,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2157","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-6uyhnx","537.426.0015","FÓRCEPS DENTAL TIPO KLEIN, INFANTIL No. 151 1/2 S",0,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2158","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-fcmdqz","537.426.0221","FÓRCEPS NO.101",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2159","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-k8xzb3","537.426.0197","FÓRCEPS NO.150",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2160","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-tdk6ag","537.426.0189","FÓRCEPS NO. 151",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2161","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-mr37zj","537.426.0171","FÓRCEPS NO.17",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2162","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-x0um7i","537.426.0023","FÓRCEPS. NO 23.",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2163","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-jywmqz","537.426.0460","FÓRCEPS NO.53 DERECHO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2164","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-1mhvj4","537.426.0270","FÓRCEPS NO.53 IZQUIERDO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2165","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-qkmxzr","537.426.0155","FÓRCEPS NO.65",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2166","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-19nm2e","537.426.0411","FÓRCEPS NO.69",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2167","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-qwzfhb","537.426.0205","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 151 B",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2168","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-r65ldx","537.426.0726","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 210",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2169","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-104ady","537.426.0734","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 222",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2170","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-is5kaz","537.426.0544","FÓRCEPS PARA ODONTECTOMÍAS TIPO KLEIN, DEL No. 3",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2171","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-j8ej44","537.426.0502","FÓRCEPS PARA ODONTECTOMÍAS TIPO KLEIN, DEL No. 6",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2172","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-1lreyi","537.547.0019","JERINGA CARPULE CON ADAPTADOR PARA AGUJA DESECHABLE",5,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2173","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-a77vyh","S/C","JUEGO DE 4 O 5 ESPATULAS PARA RESINA DE TEFLON",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2174","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-8wa1bw","S/C","JUEGO DE ALGODONERA SUCIO Y LIMPIO. ENVASE DE ACERO",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2175","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-b9ewu3","S/C","JUEGO DE GRAPAS",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2176","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-ttt8xq","S/C","JUEGO DE PROFILAXIS 8 INSTRUMENTOS",2,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2177","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-iah6ps","535.567.0059","LEGRA MEAD MANGO RECTO DOBLE EXTREMO",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2178","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-tcc9pn","537.583.0105","LIMA MILLER O COLBURN, DOBLE EXTREMO No. 10c O No. 3",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2179","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-uu9rum","537.602.0409","MANGO PARA ESPEJO DENTAL METALICO MACIZO ROSCA SENCILLA",10,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2180","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-rnul8w","537.703.7493","PINZA AINSWORTH LONGITUD DE 160 A 165 MM",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2181","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-p46aok","537.702.0531","PINZA BREWER PORTA GRAPAS PARA DIQUE DE HULE",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2182","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-g7f2pv","537.703.9598","PINZA COLLEGE O LONDON-COLLEGE TIPO BAYONETA",10,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2183","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-rf0epg","531.687.0012","PISTOLA APLICADORA DE CAPSULAS (PARA VIDRIO HIBRIO)",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2184","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-hgtbz7","531.687.0012","PORTA ABATELENGUAS CON TAPA, DE ACERO INOXIDABLE",2,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2185","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-hezcxl","535.716.0190","PORTA AGUJA FINOCHIETO, LONGITUD 14.6 CM.",3,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2186","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-mhlqhu","537.719.0052","PORTA MATRIZ PARA BANDA DE CELULOIDE",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2187","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-s2t6ga","537.720.0018","PORTA SERVILLETAS. MODELO MARTIN O ADAMS CON CADENA",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2188","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778116417866-a3q150","060.830.7237","SONDA PARODONTAL ROMA Y MILIMETRADA DE 1 A 10",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2189","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-w0uqtx","537.173.2511","SONDA PERIODONTAL W O WHO.",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2190","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-vfzx8x","535.859.2417","TIJERA MAYO, RECTA LONGITUD DE 170 MM",3,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2191","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-jwbdkm","535.859.1898","TIJERA QUINBY, CURVA, HOJAS CORTAS, LONGITUD 12.5 CM",2,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2192","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-pwfodd","535.859.1286","TIJERAS IRIS, CURVA, LONGITUD 12 CM",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2193","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-6hws3z","537.860.0018","TIRAPUENTE MILLER CON TRES PUNTAS DIFERENTES",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2194","VZIM000691","Hospital de la Comunidad Catemaco","instrumental","uid-1778117922961-4cwrvm","513.887.0059","TORUNDERA CON TAPA, ACERO INOXIDABLE 250 ML",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 01:39:06.472815"
"2195","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-52ezak","060.797.0019","ALGODONES. PARA USO DENTAL. MEDIDA: 3.8 X 0.8 CM. ENVASE CON 500 ROLLOS.",2,1,"2026-09-30",147,"","#FDE2E5",False,"2026-05-07 01:47:14.466614"
"2196","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778118411303-9admq0","060.182.1150","CEMENTOS PROTECTOR PULPAR PARA SELLAR CAVIDADES DENTALES. DE HIDRÓXIDO DE CALCIO, COMPUESTO Y APLICADOR AUTOPOLIMERIZABLE, DOS PASTAS SEMILÍQUIDAS, BASE 13 G Y CATALIZADOR 11 G CON BLOQUE DE PAPEL PARA MEZCLAR.",10,1,"2027-03-14",312,"","#FFF7E0",False,"2026-05-07 01:47:14.466614"
"2197","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-empw0o","060.031.0072","ADHESIVO. ADHESIVO DENTAL PARA RESINAS DIRECTAS AUTOPOLIMERIZABLE O FOTOPOLIMERIZABLE. FRASCO DE 5 ML.",7,1,"2028-03-31",695,"","#E8F9F0",False,"2026-05-07 01:47:14.466614"
"2198","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-0bje0m","060.082.0310","APLICADORES, APLICADOR PLASTICO DESECHABLE PARA MATERIALES, ENVASE CON 100 APLICADORES GRUESOS",3,NULL,"2028-07-31",817,"","#E8F9F0",False,"2026-05-07 01:47:14.466614"
"2199","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-ol9isj","060.066.1078","BARNIZ DE FLUORURO DE SODIO AL 5% EN UNA CONCENTRACIÓN DE 22600 PPM AUTOPOLIMERIZABLE, EN UN VEHÍCULO DE RESINA MODIFICADO.",20,1,"2028-08-06",823,"","#E8F9F0",True,"2026-05-07 01:47:14.466614"
"2200","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-o8ocey","S/C","APLICADORES MULTIPROPÓSITO (MICROBRUSH) CON PUNTAS DE FIBRA NO ABSORBENTE Y CUELLO FLEXIBLE. TAMAÑO: FINOULAR., SUPERFINO O REG",1,NULL,"2028-12-06",945,"","#E8F9F0",False,"2026-05-07 01:47:14.466614"
"2201","VZIM000691","Hospital de la Comunidad Catemaco","material","uid-1778113912762-vx01k1","060.082.0294","APLICADORES, APLICADOR PLASTICO DESECHABLE PARA MATERIALES, ENVASE CON 100 APLICADORES FINO",6,NULL,"2029-04-06",1066,"","#E8F9F0",False,"2026-05-07 01:47:14.466614"
