"hospital_nombre","categoria","clave","descripcion","stock","fecha","dias_restantes"
"Hospital General Papantla Dr.Jose Buill Belenguer","material","S/C","MATERIAL ALCASITE DE OBTURACIÓN DEFINITIVO PARA LOS DIENTES POSTERIORES CONTIENE 15 GR DE POLVO Y 4 GR LIQUIDO",1,"2026-02-28",-46
"Hospital General Papantla Dr.Jose Buill Belenguer","material","060.749.0703","PASTAS. PARA PROFILAXIS DENTAL. ABRASIVA. CON ABRASIVOS BLANDOS.  ENVASE CON 200 G.",4,"2026-05-31",46
"Hospital General Papantla Dr.Jose Buill Belenguer","material","S/C","PUNTAS DE ACABADO Y PULIDO PARA APLICACIONES OCLUSALES E INTERPROXIMALES. TRES GRADOS DE ABRASIÓN Y CUATRO FORMAS DIFERENTES: LLAMA PEQUEÑA, LLAMA GRANDE, COPA Y DISCO.  (PIEDRAS PARA PULIR COMPOSITES)",1,"2026-02-27",-47
"Hospital General Papantla Dr.Jose Buill Belenguer","material","060.791.0106","RESINA. FOTOPOLIMERIZABLE PARA RESTAURACIÓN DE DIENTES ANTERIORES Y POSTERIORES. JERINGA 3.5G.  LAS INSTITUCIONES PODRÁN ELEGIR LAS VARIANTES DE COLOR Y COMPOSICIÓN.",0,"2027-03-31",350
"Hospital General Papantla Dr.Jose Buill Belenguer","material","060.791.0114","RESINA. FOTOPOLIMERIZABLE PARA RESTAURACIÓN DE DIENTES ANTERIORES Y POSTERIORES. JERINGA 4G.  LAS INSTITUCIONES PODRÁN ELEGIR LAS VARIANTES DE COLOR Y COMPOSICIÓN.",2,"2027-03-31",350
"Hospital General Papantla Dr.Jose Buill Belenguer","material","060.960.0024","RESTAURADOR EN BLOQUE DE VIDRIO HIBRIDO/CAPA AUTOADHESIVA FOTOPOLIMERISABLE (CEMENTO DENTAL DE RESINA COMPUESTA)",1,"2027-04-26",376
"Hospital General Papantla Dr.Jose Buill Belenguer","material","060.889.0158","TIRAS. DE CELULOIDE PARA CONFORMAR RESTAURACIONES DE RESINA. ANCHO: 8 A10 MM CALIBRE:",1,"2030-02-20",1407
"Hospital General Papantla Dr.Jose Buill Belenguer","material","S/C","VASOS DESECHABLES BIODEGRADABLES DE 4 ONZAS. 100 PIEZAS",2,"2029-10-15",1279
"Hospital General Papantla Dr.Jose Buill Belenguer","mobiliario","S/C","",NULL,"",NULL
"Hospital General Papantla Dr.Jose Buill Belenguer","mobiliario","S/C","CARRO CAJONERO CON RUEDAS",1,"",NULL
